OBJECTID;Anlage;Adresse;Typ;Gruppe;Lon;Lat
1;Klettergarten Roßfall (ÖAV);Höttinger Alm;Klettergarten;Fitness/Klettern;11,364655117;47,29636926
2;Klettergarten Mühlauer Klamm;Rechenhofweg;Klettergarten;Fitness/Klettern;11,415853409;47,291733049
3;Klettergarten Mühlauer Klamm;Rechenhofweg;Klettergarten;Fitness/Klettern;11,41497595;47,291621558
4;Landeshauptschießstand Arzl;Eggenwaldweg 60;Schießstand;Sonstiges;11,427174571;47,290084024
5;Waldspielplatz Arzl;Eggenwaldweg;Fußballplatz;Fußball/Football;11,424568263;47,289503603
6;Waldspielplatz Arzl;Eggenwaldweg;Leichtathletikanlage;Sonstiges;11,424681349;47,289171096
7;Fitnessparkour Fit 2000 Hungerburg;Hungerburgweg;Fitnessparkour;Fitness/Klettern;11,397648771;47,286872561
8;Spielplatz Hungerburg;Gramartstraße;Sportplatz;Spielplatz;11,394771312;47,286657939
9;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11,393720261;47,284982744
10;Sporthalle VS Arzl;Framsweg 19;Sporthalle;Sporthalle;11,426270954;47,284730911
11;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11,393492636;47,284917392
12;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11,393912518;47,284671916
13;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11,393686454;47,284607131
14;Sporthalle VS Mühlau;Hauptplatz 3;Sporthalle;Sporthalle;11,412115502;47,28373819
15;Sportplatz Mühlenweg;Mühlenweg;Sportplatz;Spielplatz;11,41530601;47,283270794
16;Sportplatz Mühlenweg;Mühlenweg;Basketballplatz;Funsport;11,414924739;47,2832541
17;Spielplatz Gramartboden;Gramartstraße;Sportplatz;Spielplatz;11,37725755;47,282821958
18;Klettergarten Höttinger Steinbruch (ÖAV);Höhenstraße;Klettergarten;Fitness/Klettern;11,394337614;47,282198208
19;Spielplatz Jugendwohnheim Schwedenhaus;Rennweg 17b;Sportplatz;Spielplatz;11,399370482;47,277247743
20;Sportanlage BHAK/BHAS Innsbruck;Karl-Schönherr-Straße 2;Leichtathletikanlage;Sonstiges;11,400186834;47,276217985
21;Sporthalle VS Neuarzl;Rotadlerstraße 10;Sporthalle;Sporthalle;11,436496963;47,275197474
22;Sporthalle VS Neuarzl;Rotadlerstraße 10;Sporthalle;Sporthalle;11,436297026;47,275166225
23;Spielplatz Schützenstraße;Schützenstraße;Sportplatz;Spielplatz;11,435499764;47,274720814
24;Spielplatz Grenobler Brücke;Reichenauer Straße;Beachvolleyballplatz;Funsport;11,426741491;47,27487083
25;Spielplatz Grenobler Brücke;Reichenauer Straße;Streetballplatz;Funsport;11,427304843;47,274694398
26;Spielplatz Roßbachstraße;Roßbachstraße;Sportplatz;Spielplatz;11,42236284;47,274699436
27;Spielplatz Grenobler Brücke;Reichenauer Straße;Skate-/Rollerbladeplatz;Funsport;11,428054316;47,274362693
28;Spielplatz Kärntner Park;Kärntner Straße;Sportplatz;Spielplatz;11,413190116;47,274308419
29;Tennisclub IEV;Reichenauer Straße 144;Tennishalle;Tennis/Squash;11,42578451;47,274143307
30;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,425807173;47,273741191
