OBJECTID;Anlage;Adresse;Typ;Gruppe;X;Y;Lon;Lat
1;Klettergarten Roßfall (ÖAV);Höttinger Alm;Klettergarten;Fitness/Klettern;78027,371199999907000;240239,702500001000000;11,364655117000000;47,296369260000098
2;Klettergarten Mühlauer Klamm;Rechenhofweg;Klettergarten;Fitness/Klettern;81906,832499999597000;239776,627499999010000;11,415853409000100;47,291733049000101
3;Klettergarten Mühlauer Klamm;Rechenhofweg;Klettergarten;Fitness/Klettern;81840,632700000002000;239763,313599999990000;11,414975950000001;47,291621558000102
4;Landeshauptschießstand Arzl;Eggenwaldweg 60;Schießstand;Sonstiges;82765,735000000306000;239605,217499999010000;11,427174571000100;47,290084024000102
5;Waldspielplatz Arzl;Eggenwaldweg;Fußballplatz;Fußball/Football;82569,487599999600000;239537,933400000010000;11,424568263000101;47,289503603000099
6;Waldspielplatz Arzl;Eggenwaldweg;Leichtathletikanlage;Sonstiges;82578,557900000407000;239501,086200001010000;11,424681349000100;47,289171096000103
7;Fitnessparkour Fit 2000 Hungerburg;Hungerburgweg;Fitnessparkour;Fitness/Klettern;80537,183099999995000;239217,350899999990000;11,397648771000100;47,286872561000102
8;Spielplatz Hungerburg;Gramartstraße;Sportplatz;Spielplatz;80319,834800000302000;239190,530700000000000;11,394771312000000;47,286657939000101
9;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;80242,851300000199000;239003,210999998990000;11,393720261000100;47,284982743999997
10;Sporthalle VS Arzl;Framsweg 19;Sporthalle;Sporthalle;82705,703800000294000;239009,126499998990000;11,426270954000101;47,284730911000104
11;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;80225,730000000403000;238995,711899999990000;11,393492636000101;47,284917392000096
12;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;80257,864400000297000;238968,851900000010000;11,393912518000100;47,284671916000001
13;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;80240,860199999996000;238961,417400001000000;11,393686454000100;47,284607131000101
14;Sporthalle VS Mühlau;Hauptplatz 3;Sporthalle;Sporthalle;81636,361499999693000;238883,886000000000000;11,412115502000100;47,283738190000101
15;Sportplatz Mühlenweg;Mühlenweg;Sportplatz;Spielplatz;81878,448300000295000;238835,258600000000000;11,415306010000100;47,283270794000103
16;Sportplatz Mühlenweg;Mühlenweg;Basketballplatz;Funsport;81849,629900000102000;238833,003499999990000;11,414924739000099;47,283254100000100
17;Spielplatz Gramartboden;Gramartstraße;Sportplatz;Spielplatz;79000,653400000199000;238746,224199999010000;11,377257550000101;47,282821958000099
18;Klettergarten Höttinger Steinbruch (ÖAV);Höhenstraße;Klettergarten;Fitness/Klettern;80293,755300000295000;238694,272399999000000;11,394337614000101;47,282198208000104
19;Spielplatz Jugendwohnheim Schwedenhaus;Rennweg 17b;Sportplatz;Spielplatz;80682,016099999702000;238149,081700001000000;11,399370482000100;47,277247742999997
20;Sportanlage BHAK/BHAS Innsbruck;Karl-Schönherr-Straße 2;Leichtathletikanlage;Sonstiges;80745,344200000196000;238035,440500000000000;11,400186834000101;47,276217985000102
21;Sporthalle VS Neuarzl;Rotadlerstraße 10;Sporthalle;Sporthalle;83494,260800000295000;237960,109800000010000;11,436496963000099;47,275197474000002
22;Sporthalle VS Neuarzl;Rotadlerstraße 10;Sporthalle;Sporthalle;83479,181800000399000;237956,422200000000000;11,436297026000100;47,275166225000099
23;Spielplatz Schützenstraße;Schützenstraße;Sportplatz;Spielplatz;83419,555800000206000;237906,052800000000000;11,435499763999999;47,274720813999998
24;Spielplatz Grenobler Brücke;Reichenauer Straße;Beachvolleyballplatz;Funsport;82756,631099999897000;237913,426299999990000;11,426741491000101;47,274870830000097
25;Spielplatz Grenobler Brücke;Reichenauer Straße;Streetballplatz;Funsport;82799,531299999901000;237894,407600001000000;11,427304843000099;47,274694398000101
26;Spielplatz Roßbachstraße;Roßbachstraße;Sportplatz;Spielplatz;82425,588399999804000;237889,747600000000000;11,422362840000099;47,274699435999999
27;Spielplatz Grenobler Brücke;Reichenauer Straße;Skate-/Rollerbladeplatz;Funsport;82856,756199999698000;237858,323999999000000;11,428054316000001;47,274362693000100
28;Spielplatz Kärntner Park;Kärntner Straße;Sportplatz;Spielplatz;81732,137500000201000;237836,649999999990000;11,413190116000100;47,274308419000100
29;Tennisclub IEV;Reichenauer Straße 144;Tennishalle;Tennis/Squash;82685,351800000295000;237831,531500001000000;11,425784510000099;47,274143307000102
30;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;82687,691300000093000;237786,850099998990000;11,425807173000100;47,273741191000099
31;Sportanlage HS Reichenau;Burghard-Breitner-Straße 20-22;Sportplatz;Spielplatz;82635,972699999795000;237771,819300000000000;11,425121022000001;47,273612514000000
